IO_RST_IBUF_inst	IOB_X0Y124	IOB18.INBUF_DCIEN	IBUF
hb_reg[22]	SLICE_X180Y21	SLICEM.CFF	FDRE
hb_reg[23]	SLICE_X180Y21	SLICEM.DFF	FDRE
hb_reg[24]	SLICE_X180Y22	SLICEM.AFF	FDRE
hb_reg[24]_i_1	SLICE_X180Y22	SLICEM.CARRY4	CARRY4
hb_reg[2]	SLICE_X180Y16	SLICEM.CFF	FDRE
hb_reg[3]	SLICE_X180Y16	SLICEM.DFF	FDRE
hb_reg[4]	SLICE_X180Y17	SLICEM.AFF	FDRE
hb_reg[4]_i_1	SLICE_X180Y17	SLICEM.CARRY4	CARRY4
hb_reg[5]	SLICE_X180Y17	SLICEM.BFF	FDRE
hb_reg[6]	SLICE_X180Y17	SLICEM.CFF	FDRE
hb_reg[7]	SLICE_X180Y17	SLICEM.DFF	FDRE
hb_reg[8]	SLICE_X180Y18	SLICEM.AFF	FDRE
hb_reg[8]_i_1	SLICE_X180Y18	SLICEM.CARRY4	CARRY4
hb_reg[9]	SLICE_X180Y18	SLICEM.BFF	FDRE
ibuf_clk	IOB_X1Y276	IOB18M.INBUF_DCIEN	IBUFDS
leds_gp_reg	SLICE_X186Y21	SLICEM.D5FF	FDRE
mmcm	MMCME2_ADV_X1Y5	MMCME2_ADV.MMCME2_ADV	MMCME2_ADV
rd_cnt_q[0]_i_1	SLICE_X183Y17	SLICEL.A6LUT	LUT1
rd_cnt_q[1]_i_1	SLICE_X183Y17	SLICEL.A5LUT	LUT2
rd_cnt_q[2]_i_1	SLICE_X183Y17	SLICEL.B6LUT	LUT3
rd_cnt_q[3]_i_1	SLICE_X182Y17	SLICEM.A6LUT	LUT4
rd_cnt_q[4]_i_1	SLICE_X182Y17	SLICEM.A5LUT	LUT5
rd_cnt_q[5]_i_1	SLICE_X182Y17	SLICEM.C6LUT	LUT6
rd_cnt_q[6]_i_1	SLICE_X182Y17	SLICEM.D6LUT	LUT5
rd_cnt_q[7]_i_1	SLICE_X182Y17	SLICEM.B6LUT	LUT6
rd_cnt_q[7]_i_2	SLICE_X183Y17	SLICEL.B5LUT	LUT3
rd_cnt_q_reg[0]	SLICE_X183Y17	SLICEL.AFF	FDRE
rd_cnt_q_reg[1]	SLICE_X183Y17	SLICEL.A5FF	FDRE
rd_cnt_q_reg[2]	SLICE_X183Y17	SLICEL.BFF	FDRE
rd_cnt_q_reg[3]	SLICE_X182Y17	SLICEM.AFF	FDRE
rd_cnt_q_reg[4]	SLICE_X182Y17	SLICEM.A5FF	FDRE
rd_cnt_q_reg[5]	SLICE_X182Y17	SLICEM.CFF	FDRE
rd_cnt_q_reg[6]	SLICE_X182Y17	SLICEM.DFF	FDRE
rd_cnt_q_reg[7]	SLICE_X182Y17	SLICEM.BFF	FDRE
rdata_q[31]_i_1	SLICE_X184Y18	SLICEM.C5LUT	LUT3
rdata_q[31]_i_3	SLICE_X185Y22	SLICEL.C6LUT	LUT6
rdata_q[31]_i_7	SLICE_X184Y22	SLICEM.D6LUT	LUT5
rdata_q_reg[0]	SLICE_X187Y18	SLICEL.AFF	FDRE
rdata_q_reg[10]	SLICE_X190Y16	SLICEM.AFF	FDRE
rdata_q_reg[11]	SLICE_X191Y18	SLICEL.AFF	FDRE
rdata_q_reg[12]	SLICE_X191Y17	SLICEL.AFF	FDRE
rdata_q_reg[13]	SLICE_X189Y18	SLICEL.AFF	FDRE
rdata_q_reg[14]	SLICE_X188Y15	SLICEM.AFF	FDRE
rdata_q_reg[15]	SLICE_X186Y15	SLICEM.AFF	FDRE
rdata_q_reg[16]	SLICE_X187Y14	SLICEL.AFF	FDRE
rdata_q_reg[17]	SLICE_X187Y14	SLICEL.BFF	FDRE
rdata_q_reg[18]	SLICE_X186Y14	SLICEM.AFF	FDRE
rdata_q_reg[19]	SLICE_X186Y15	SLICEM.BFF	FDRE
